Title,Source title,Cited by,Authors Country,Author Keywords,Year
"Visible-Light-Induced Regioselective C-H Sulfenylation of Pyrazolo[1,5-a]pyrimidines via Cross-Dehydrogenative Coupling",Journal of Organic Chemistry,18,India,,2023
"Synthesis and biological evaluation of (S)-2-(substituted arylmethyl)-1-oxo-1,2,3,4-tetrahydropyrazino[1,2-a]indole-3-carboxamide analogs and their synergistic effect against pten-deficient mda-mb-468 cells",Pharmaceuticals,3,,"Anti-TNBC, EGFR–TKI resistance, PTEN-deficient cancer cells, Pyrazinoindolone scaffold, Synergistic effects",2021
Bisindole natural products: A vital source for the development of new anticancer drugs,European Journal of Medicinal Chemistry,30,China,"Anticancer drug, Bioactivity, Bisindole alkaloids, Cancer, Natural products",2022
"Romidepsin (Fk228), a histone deacetylase inhibitor and its analogues in cancer chemotherapy",Current Medicinal Chemistry,35,"Albania, Italy","Apoptosis, Dual inhibitors, HDAC inhibitors, HDACs, Novel anti-cancer therapies, PI3K, Structure-activity relationships (SAR)",2021
Genetic Characterization of Influenza A (H1N1) Pandemic 2009 Virus Isolates from Mumbai,Current Microbiology,1,India,,2017
"Synthesis of new GABAA receptor modulator with pyrazolo[1,5-a]quinazoline (PQ) scaffold",International Journal of Molecular Sciences,8,Italy,"5-a]quinazoline, Electrophysiological studies, GABA<sub>A</sub> receptor, High affinity benzodiazepine site, Low affinity benzodiazepine site, Organic synthesis, Pyrazolo[1, Xenopus oocytes",2019
"Iridium-Catalyzed Asymmetric Hydrogenation of Heteroaromatics with Multiple N Atoms via Substrate Activation: An Entry to 4,5,6,7-Tetrahydropyrazolo[1,5-a]pyrimidine-3-carbonitrile Core of a Potent BTK Inhibitor",Journal of Organic Chemistry,1,China,,2024
"Discovery of novel pyrazolo[1,5-a]pyrimidine derivatives as potent reversal agents against ABCB1-mediated multidrug resistance",European Journal of Medicinal Chemistry,1,China,"ABCB1, Multidrug resistance, Paclitaxel, Pyrazolo[1,5-a]pyrimidine, Reversal agents",2024
"Synthesis of isoindolo[1,2-a]isoquinoline and isoindolo[2,1-a]quinoline derivatives via trifluoroacetic acid-mediated cascade reactions",Tetrahedron,10,China,"Cascade reaction, isoindolo[1,2-a]isoquinoline, isoindolo[2,1-a]quinoline, Trifluoroacetic acid",2021
A Review of Ganoderma Triterpenoids and Their Bioactivities,Biomolecules,65,"China, France, Sri Lanka, Thailand","bioactive molecules, bioactivity, drug, Lingzhi, Reishi, triterpenes",2023
Methylene-Tethered Arylsulfonation and Benzotriazolation of Aryl/Heteroaryl C–H Bonds with DMSO as a One-Carbon Surrogate,Journal of Organic Chemistry,15,India,,2021
"Lewis Acid-Catalyzed Intermolecular Annulation: Three-Component Reaction toward Imidazo[1,2- a]pyridine Thiones",Journal of Organic Chemistry,19,China,,2019
"Synthesis of novel 2-alkoxy(aralkoxy)-4H-[1,2,4]triazolo[1,5-a]quinazolin- 5-ones starting with dialkyl-N-cyanoimidocarbonates",Journal of Heterocyclic Chemistry,15,"Germany, Saudi Arabia",,2011
"Design, synthesis and biological evaluation of Thiazolo[3, 2-a]Pyrimidine derivatives as novel RNase H inhibitors",Bioorganic Chemistry,0,"Belgium, China, Italy","3D-QSAR, Allosteric inhibitors, RNase H, Thiazolo[3, 2-a]pyrimidine",2024
"Synthesis of Pyrazolo[1,5-a]pyridinyl, Pyrazolo[1,5-a]quinolinyl, and Pyrazolo[5,1-a]isoquinolinyl Sulfonyl Fluorides via a [3 + 2] Annulation",Journal of Organic Chemistry,8,China,,2023
Making the Abstract Concrete: A Project-Based Laboratory Activity on Concrete Manufacturing for Civil Engineering Students*,International Journal of Engineering Education,2,New Zealand,"a c tiv e l e a r n i n g, p r o j e c t, b a s e d l e a r n i n g, p e e r, b a s e d l e a r n i n g, p r o b l e m, le a r n i n g, p e e r, te a c h i n g, e x p e r i e n t i a l l e a r n i n g, l a b o r a t o r y l e a r n i n g, C o v i d d i s r u p t i o n, c o n c r e t e m a n u f a c t u r i n g, s t u d e n t f e e d b a c k, s t u d e n t s u r v e y",2022
"Detrifluoromethylamination of trifluoromethyl pyrazolo[1,5-a]pyrimidins enabled by unusual C-CF3 bond cleavage",Tetrahedron,0,China,"C-CF<sub>3</sub> bond cleavage, Detrifluoromethylamination, pyrazolo[1,5-a]pyrimidine",2024
"I2-Catalyzed Three-Component Consecutive Reaction for the Synthesis of 3-Aroylimidazo[1,2-a]-N-Heterocycles",Journal of Organic Chemistry,31,China,,2021
"A multiplex RT-PCR assay for detection and differentiation of avian-origin canine H3N2, equine-origin H3N8, human-origin H3N2, and H1N1/2009 canine influenza viruses",PLoS ONE,12,China,,2017
Resistance profiles for the investigational neuraminidase inhibitor AV5080 in influenza A and B viruses,Antiviral Research,1,United States,"AV5080, Influenza virus, NAI, Neuraminidase, Oseltamivir, Reduced susceptibility, Resistance, Zanamivir",2023
Nonclassical Phenyl Bioisosteres as Effective Replacements in a Series of Novel Open-Source Antimalarials,Journal of Medicinal Chemistry,74,"Australia, United Kingdom, United States",,2020
"Synthesis, biological evaluation and cellular localization study of fluorescent derivatives of Jiyuan Oridonin A",European Journal of Medicinal Chemistry,5,China,"Anti-tumor mechanism, Fluorescent probe, Jiyuan oridonin A, Naphthalimide",2022
"Ball-Milling-Enabled Zn(OTf)2-Catalyzed Friedel-Crafts Hydroxyalkylation of Imidazo[1,2-a]pyridines and Indoles",Journal of Organic Chemistry,4,India,,2023
"Surrogating and redirection of pyrazolo[1,5-a]pyrimidin-7(4H)-one core, a novel class of potent and selective DPP-4 inhibitors",Bioorganic and Medicinal Chemistry,22,China,"Anti-diabetic, DPP-4 inhibitor, Molecular docking, Pyrazolo[1,5-a]pyrimidin-7(4H)-one derivatives, Structure-based drug design",2018
"Synthesis and characterization of novel classes of PDE10A inhibitors - 1H-1,3-benzodiazoles and imidazo[1,2-a]pyrimidines",European Journal of Medicinal Chemistry,18,Poland,"1H-1,3-benzodiazoles, Imidazo[1,2-a]pyrimidines, PDE10A",2018
"Solvent-controlled photosensitized divergent C3-ethoxycarbonylmethylation/hydroxyalkylation of imidazo[1,2-a]pyridines with diethyl bromomalonate",Tetrahedron,2,China,,2022
"Synthesis of Imidazo[1,2- a]pyridines: Triflic Anhydride-Mediated Annulation of 2 H-Azirines with 2-Chloropyridines",Journal of Organic Chemistry,32,Canada,,2021
"Design, synthesis and anti-mycobacterial evaluation of imidazo[1,2-a]pyridine analogues",RSC Medicinal Chemistry,14,India,,2022
"Synthesis and SAR of 3-arylsulfonyl-pyrazolo[1,5-a]pyrimidines as potent serotonin 5-HT 6 receptor antagonists",Bioorganic and Medicinal Chemistry,35,"Russian Federation, United States","5-HT6 receptor, Antagonist, Arylsulfonylpyrazolopyrimidines, cAMP stimulation, HEK 293 cells",2011
"Investigations on 5,6,7,8-tetrahydro-[1,2,4]triazolo[1,2-a]pyridazin-1-amines and related compounds: synthesis, chemical behaviour, structure elucidation and iNOS inhibitory activity#",Pharmazie,0,Germany,,2024
"Base-Mediated Cascade Lactonization/1,3-Dipolar Cycloaddition Pathway for the One-Pot Assembly of Coumarin-Functionalized Pyrrolo[2,1-a]isoquinolines",Journal of Organic Chemistry,2,China,,2024
"Influence of 6 or 8-substitution on the antiviral activity of 3-phenethylthiomethylimidazo[1,2-a]pyridine against human cytomegalovirus (HCMV) and varicella-zoster virus (VZV)",Bioorganic and Medicinal Chemistry,31,"Belgium, France","Antiviral drugs, Human cytomegalovirus (HCMV), Imidazo[1,2-a]pyridine, Varicella-zoster virus (VZV)",2007
"Design, synthesis, and anticancer assessment of structural analogues of (E)-1-((3,4,5-trimethoxybenzylidene)amino)-4-(3,4,5-trimethoxyphenyl)imidazo[1,2-a]quinoxaline-2-carbonitrile (6b), an imidazo[1,2-a]quinoxaline-based non-covalent EGFR inhibitor",RSC Medicinal Chemistry ,0,India,,2024
"Structure-Based Design, Synthesis, and Biological Evaluation of New Triazolo[1,5- a]Pyrimidine Derivatives as Highly Potent and Orally Active ABCB1 Modulators",Journal of Medicinal Chemistry,33,"China, United States",,2020
"Isatidis Radix and Isatidis Folium: A systematic review on ethnopharmacology, phytochemistry and pharmacology",Journal of Ethnopharmacology,45,China,"Alkaloids, Biological activities, Botany and ethnopharmacology, Isatidis folium, Isatidis radix, Phytochemistry",2022
Synthesis and evaluation of piperazinotriazoles. Discovery of a potent and orally bioavailable neurokinin-3 receptor inhibitor,European Journal of Medicinal Chemistry,1,China,,2023
"Efficient assembly and anti-tumor evaluation of novel polycyclic [1,2-a]-fused indoles",Bioorganic Chemistry,0,China,"2-a]-fused indole, Anti-tumor activity, Apoptosis, Cell cycle arrest, Polycyclic [1, Synthetic methodology",2024
"Regioselective Oxidative Cross-Coupling Reaction: Synthesis of Imidazo[1,2- a ]pyridine Fluorophores",Synthesis (Germany),7,China,"fluorophores-, imidazo[1,2-a]pyridines, oxidative C-H/C-H coupling, palladium, regioselectivity",2021
"Discovery of Novel [1,2,4]Triazolo[1,5-a]pyrimidine Derivatives as Novel Potent S-Phase Kinase-Associated Protein 2 (SKP2) Inhibitors for the Treatment of Cancer",Journal of Medicinal Chemistry,1,China,,2024
Expanding the Chemical Space of Withaferin A by Incorporating Silicon to Improve Its Clinical Potential on Human Ovarian Carcinoma Cells,Journal of Medicinal Chemistry,22,"Spain, United Kingdom",,2019
"Expanding the Activity Profile of Pyrido[1,2- a]benzimidazoles: Synthesis and Evaluation of Novel N1-1-Phenylethanamine Derivatives against Schistosoma mansoni",ACS Infectious Diseases,12,"Switzerland, South Africa","1-phenylethanamine, antischistosomal activity, antischistosomal lead, pyrido[1,2- a]benzimidazole, Schistosoma mansoni, schistosomiasis",2021
"Efficient route to benzo[4,5]imidazo[2,1-a]phthalazines",Tetrahedron,12,Russian Federation,"Benzimidazole, Cyclodehydration, Nucleophilic substitution, Phthalazinone",2006
"Discovery of pyridazinone derivatives bearing tetrahydroimidazo[1,2-a]pyrazine scaffold as potent inhibitors of transient receptor potential canonical 5 to ameliorate hypertension-induced renal injury in rats",European Journal of Medicinal Chemistry,1,China,"Chronic kidney disease, Focal segmental glomerulosclerosis, Pyridazinone, Tetrahydroimidazo[1,2-a]pyrazine, Transient receptor potential canonical 5",2024
"Synthesis of novel 4,5-dihydropyrrolo[1,2-a]quinoxalines, pyrrolo[1,2-a]quinoxalin]-2-ones and their antituberculosis and anticancer activity",Archiv der Pharmazie,11,India,"4,5-dihydropyrrolo[1,2-a]quinoxalines, antituberculosis agents, pyrrolo[1,2-a]quinoxalin-2-ones, reusable catalyst",2020
"Discovery and Characterization of RGH-122, a Potent, Selective, and Orally Bioavailable V1a Receptor Antagonist",Journal of Medicinal Chemistry,1,Hungary,,2024
"Synthesis of imidazo[1,2-a]quinoxalines by double Groebke reactions and inhibitory effects on radicals and DNA oxidation",Tetrahedron,13,China,"DNA oxidation, Groebke 3CR, N-rich polyheterocycles, Radical-scavenging property",2016
"Discovery of the Triazolo[1,5- a]Pyrimidine-Based Derivative WS-898 as a Highly Efficacious and Orally Bioavailable ABCB1 Inhibitor Capable of Overcoming Multidrug Resistance",Journal of Medicinal Chemistry,21,"China, United States",,2021
"Design, synthesis, in vitro evaluation of a new pyrrolo[1,2-a]thiazolo[5,4-d]pyrimidinone derivatives as cholinesterase inhibitors against Alzheimer's disease",Journal of Heterocyclic Chemistry,10,"China, Uzbekistan",,2022
Selective Synthesis of Diverse Spiro-oxindole-fluorene Derivatives via a DABCO-Promoted Annulation Reaction of Bindone and 3-Methyleneoxindoles,Journal of Organic Chemistry,22,China,,2021
"Microwave assisted synthesis of 2,3-dihydro-4H-benzo[4,5]thiazolo[3,2-a]furo[2,3-d] pyrimidin-4-ones by radical addition of 2-hydroxy-4H-benzo[4,5]thiazolo[3,2-a] pyrimidin-4-ones to various conjugated alkenes and dienes mediated Mn(OAc)3",Tetrahedron,4,,"C-C bond formation, Dihydrofuran, Microwave synthesis, Thiazolo[3,2-a]furo[2,3-d]pyrimidin",2022
"Discovery of 4-oxo-4,5-dihydropyrazolo[1,5-a]quinoxaline-7-carboxamide derivatives as PI3Kα inhibitors via virtual screening and docking-based structure optimization",Bioorganic and Medicinal Chemistry,1,China,"PI3Kα inhibitors, Structure optimization, Virtual screening",2023
"Triazolo[1,5-a]pyrimidine Phosphodiesterase 2A Inhibitors: Structure and Free-Energy Perturbation-Guided Exploration",Journal of Medicinal Chemistry,17,"Belgium, Spain, United Kingdom",,2020
"Design, synthesis and biological evaluations of a series of Pyrido[1,2-a]pyrimidinone derivatives as novel selective FGFR inhibitors",European Journal of Medicinal Chemistry,15,China,"FGFR, pyrido[1,2-a]pyrimidinone, Solubility, Tumor growth inhibition",2021
"Discovery of pyrazolo[1,5-a]pyrimidine derivatives targeting TLR4−TLR4∗ homodimerization via AI-powered next-generation screening",European Journal of Medicinal Chemistry,0,China,"AI-powered virtual screening, Anti-inflammatory, Homodimerization, MD simulation, Pyrazolo[1,5-a]pyrimidine, TLR4−TLR4∗",2024
"Regioselective C3-halogenations of N-(pyrazolo[1,5-a]pyrimidin-7-yl)acetamides",Tetrahedron,0,China,"Halogenation, Pyrazolo[1,5-a]pyrimidin-7-amine, Regioselectivity",2024
"Convenient Synthesis of Novel Nitrogen Bridgehead Heterocycles Utilizing 3-Mercapto-6H-[1,2,4,5]oxatriazino[3,2-a]isoindol-6-one as a New Synthon",Journal of Heterocyclic Chemistry,10,"Egypt, Saudi Arabia",,2019
"Microtubule-Stabilizing 1,2,4-Triazolo[1,5- a]pyrimidines as Candidate Therapeutics for Neurodegenerative Disease: Matched Molecular Pair Analyses and Computational Studies Reveal New Structure-Activity Insights",Journal of Medicinal Chemistry,10,"United Kingdom, United States",,2023
"Diethyl Azodicarboxylate-Promoted Oxidative [3 + 2] Cycloaddition for the Synthesis of Pyrrolo[2,1- a]isoquinolines",Journal of Organic Chemistry,23,China,,2021
"Synthesis and antitumor activity of pyrido [2,3-d]pyrimidine and pyrido[2,3-d] [1,2,4]triazolo[4,3-a]pyrimidine derivatives that induce apoptosis through G1 cell-cycle arrest",European Journal of Medicinal Chemistry,103,"Egypt, Saudi Arabia","Antitumor activity, Apoptosis, Cell cycle arrest, Pyrido[2 3-d]pyrimidine, Pyrido[2 3-d][1 2 4]triazolo[4 3-a]pyrimidine",2014
A recommended numbering scheme for influenza a ha subtypes |,PLoS ONE,124,United Kingdom,,2014
"Dimethyl Sulfoxide-Assisted, Iodine- and Ascorbic Acid-Catalyzed One-Pot Synthetic Approach for Constructing Highly Substituted Pyrazolo[1,5- a]quinoline Thioether Derivatives",Journal of Organic Chemistry,9,"India, Peru",,2022
"N,N-Dimethylformamide as Carbon Synthons for the Synthesis ofN-Heterocycles: Pyrrolo/Indolo[1,2-a]quinoxalines and Quinazolin-4-ones",Journal of Organic Chemistry,24,China,,2021
"Design, Synthesis, and Biological Evaluation of a Novel NIK Inhibitor with Anti-Inflammatory and Hepatoprotective Effects for Sepsis Treatment",Journal of Medicinal Chemistry,2,China,,2024
"Discovery of Novel Imidazo[1,2-a]pyridine-Based HDAC6 Inhibitors as an Anticarcinogen with a Cardioprotective Effect",Journal of Medicinal Chemistry,0,China,,2024
"Evaluation of the Structure-Activity Relationship of Microtubule-Targeting 1,2,4-Triazolo[1,5- a]pyrimidines Identifies New Candidates for Neurodegenerative Tauopathies",Journal of Medicinal Chemistry,21,"United Kingdom, United States",,2021
"Synthesis of Purine Analogues: Photocatalyst-Free Visible-Light-Enhanced Annulation Approach to Pyrazolo[1,5- A[[1,3,5]triazine-2,4-diamines",Journal of Organic Chemistry,18,China,,2021
"An Efficient Synthesis of New 7-Trifluoromethyl-2,5-disubstituted Pyrazolo[1,5- a ]pyrimidines",Synthesis (Germany),21,France,"7-trifluoromethylated pyrazolo[1,5- a ]pyrimidin-5-ones, biological interest, C-O bond activation, fluorinated alkynes, trifluoromethylated pyrazolo[1,5- a ]pyrimidines",2018
"Discovery of a potent, selective, and orally active phosphodiesterase 10A inhibitor for the potential treatment of schizophrenia",Journal of Medicinal Chemistry,37,"Belgium, Spain",,2014
"Design, synthesis, and biological evaluation of 6-(imidazo[1,2-a] pyridin-6-yl) quinazolin-4(3H)-one derivatives as potent anticancer agents by dual targeting Aurora kinase and ROR1",Bioorganic Chemistry,6,China,"Apoptosis, Aurora kinase, Cell cycle arrest, Quinazolin-4(3H)-one derivatives, ROR1",2023
"Synthesis and biological evaluation of [1,2,4]triazolo[3,4-a]phthalazine and tetrazolo[5,1-a]phthalazine derivatives bearing substituted benzylpiperazine moieties as positive inotropic agents",Chemical Biology and Drug Design,16,China,"Positive inotropic activity, Stroke volume, Tetrazolo[5,1-a]phthalazine, [1,2,4]triazolo[3,4-a]phthalazine",2013
"Targeting Acute Myelogenous Leukemia Using Potent Human Dihydroorotate Dehydrogenase Inhibitors Based on the 2-Hydroxypyrazolo[1,5- a]pyridine Scaffold: SAR of the Biphenyl Moiety",Journal of Medicinal Chemistry,23,"China, Italy, Sweden",,2021
"Structure-activity relationships of indole compounds derived from combretastatin A4: Synthesis and biological screening of 5-phenylpyrrolo[3,4-a] carbazole-1,3-diones as potential antivascular agents",European Journal of Medicinal Chemistry,34,France,"Antitumor agents, Endothelial cells, Multicomponent reactions, Tubulin, Vascular-disrupting agents",2010
"tele-Substitution Reactions in the Synthesis of a Promising Class of 1,2,4-Triazolo[4,3- a]pyrazine-Based Antimalarials",Journal of Organic Chemistry,7,"Australia, United Kingdom",,2020
Clinical validation of the FluChip-8G Influenza A+B Assay for influenza type and subtype identification,Journal of Clinical Virology,4,United States,"Clinical performance, Diagnostic validation, FluChip-8G influenza A+B assay, Influenza subtyping, Microarray, multiplex RT-PCR",2019
"Novel hybrids of sclareol and 1,2,4-triazolo[1,5-a]pyrimidine show collateral sensitivity in multidrug-resistant glioblastoma cells",Bioorganic Chemistry,3,"Bulgaria, Serbia","1,2,4-triazolo[1,5-a]pyrimidine, Cancer multidrug resistance, Glioblastoma cells, Hybrid molecules, Mitochondrial membrane potential, P-glycoprotein, Sclareol",2023
"Novel one-pot multicomponent strategy for the synthesis of pyrrolo[1,2-a]benzimidazole and pyrrolo[1,2-a]quinoxaline derivatives",Synthesis (Germany),24,Romania,"cycloadditions, fused-ring systems, heterocycles, multicomponent reactions, ylides",2015
"Assembly of 1,2,3,4-Tetrahydropyrrolo[1,2- a]pyrazines via the Domino Reaction of 2-Imidazolines and Terminal Electron-Deficient Alkynes",Journal of Organic Chemistry,8,Russian Federation,,2022
"K2S2O8-promoted C3-thiocyanation of pyrazole [1,5-a] pyrimidine-7-amines",Tetrahedron,5,China,"C–H functionality, C–S bond, Pyrazolo[1,5-a]pyrimidin-7-amine, Synthesis, Thiocyanation",2023
Specific Correction of Alternative Survival Motor Neuron 2 Splicing by Small Molecules: Discovery of a Potential Novel Medicine to Treat Spinal Muscular Atrophy,Journal of Medicinal Chemistry,88,"Switzerland, United States",,2016
"Diversity-Oriented Synthesis of Spiropyrrolo[1,2- a]isoquinoline Derivatives via Diastereoselective and Regiodivergent Three-Component 1,3-Dipolar Cycloaddition Reactions: In Vitro and in Vivo Evaluation of the Antidiabetic Activity of Rhodanine Analogues",Journal of Organic Chemistry,33,"Canada, Germany, Algeria, France, Tunisia",,2021
"Multicomponent One-Pot Synthesis of 3-Tetrazolyl and 3-Imidazo[1,2-a]pyridin Tetrazolo[1,5-a]quinolines",Journal of Organic Chemistry,33,Mexico,,2016
"Diversity-oriented synthesis toward aryl- And phosphoryl-functionalized imidazo[1,2-a]pyridines",Journal of Organic Chemistry,23,France,,2020
Cell-Based Screen Identifies a Highly Potent and Orally Available ABCB1 Modulator for Treatment of Multidrug Resistance,Journal of Medicinal Chemistry,0,"China, United States",,2024
"Synthesis of Pyrrolo[1,2- a]indoles via (3+2)-Annulations of (Aza)- para -Quinone Methides with Indoles",Synthesis (Germany),16,China,"1,8-conjugate addition, para -quinone methide imines, para -quinone methides, pyrrolo[1,2- a]indoles, [3+2] annulation",2020
"Structure activity relationship studies of imidazo[1,2-a]pyrazine derivatives against cancer cell lines",European Journal of Medicinal Chemistry,55,India,"Anticancer activity, Imidazo[1,2-a]pyrazine, Inhibitor design, Structure activity relationship, Synthesis",2010
"Synthesis and evaluation of pyrido[1,2-a]pyrimidines as inhibitors of nitric oxide synthases",European Journal of Medicinal Chemistry,15,"Germany, France","Inhibitors, Isoform selectivity, Nitric oxide synthase, Pyrido[1,2-a]pyrimidines",2009
"One-Pot Synthesis of 3-Methyl-2-arylimidazo[1,2-a]pyridines Using Calcium Carbide as an Alkyne Source",Journal of Organic Chemistry,31,China,,2022
"One-pot synthesis of [1,2,4]Triazolo[1,5-a]pyridines from azines and benzylidenemalononitriles via copper-catalyzed tandem cyclization",Tetrahedron,17,China,"Copper-catalyzed, Demethylation, Fluorescence, Tandem cyclization, [1,2,4]triazolo[1,5-a]pyridine",2018
"Rhodium catalyzed direct C3-ethoxycarbonylmethylation of imidazo[1,2-a]pyridines with ethyl diazoacetate",Tetrahedron,6,China,"Ethoxycarbonylmethylation, Ethyl diazoacetate, Imidazo[1,2-a]pyridine, Rhodium",2020
"An Efficient Fe/H 2 O Medium in situ Reduction and Cyclization Reaction for the Synthesis of Pyrazolo[3,4- a ]acridin-10-one and Pyrazolo[4,3- a ]acridin-10-one Derivatives",Synthesis (Germany),5,China,"in situ reductions, iron, nitro compounds, pyrazolo-[3 4- a ]-acridin-10-one, pyrazolo[4 3- a ]acridin-10-one",2018
"One-Pot Synthesis of Chromone-Fused Pyrrolo[2,1- a]isoquinolines and Indolizino[8,7- b]indoles: Iodine-Promoted Oxidative [2 + 2 + 1] Annulation of O-Acetylphenoxyacrylates with Tetrahydroisoquinolines and Noreleagnines",Journal of Organic Chemistry,21,China,,2021
"Synthesis of 1,3-Disubstituted Imidazo[1,5-a]pyridines from Amino Acids via Catalytic Decarboxylative Intramolecular Cyclization",Journal of Organic Chemistry,76,China,,2016
"Use of ligand-free iron/copper cocatalyst for nitrogen and sulfur cross-coupling reaction with 6-iodoimidazo[1,2- a ]pyridine",Synthesis (Germany),9,"France, Morocco","bimetallic catalysis, copper, imidazo[1,2- a ]pyridine, iron, N and S cross-coupling",2015
"Synthesis and antimicrobial screening of novel series of imidazo-[1,2-a]pyridine derivatives",Medicinal Chemistry Research,19,India,"Antibacterial activity, Antifungal activity, Imidazo-[1,2-a]pyridine, Mannich reaction, MIC",2012
"A concise synthesis of pyrrolo- and pyrrolidino[1,2-a]quinolin-1-ones via Diels-Alder reactions of N-acyliminium cations with olefins",Synthesis,20,China,"5-hydroxy-1-arylpyrrol-2- one, Alkenes, Diels-Alder reaction, N-acyliminium cation, Pyrrolo[1,2-a]quinolin-1-one",2006
"Design, synthesis, and bioevaluation of imidazo [1,2–a] pyrazine derivatives as tubulin polymerization inhibitors with potent anticancer activities",Bioorganic and Medicinal Chemistry,8,China,"Antiproliferative, Colchicine binding site, Imidazo[12–a], Pyrazine, Tubulin inhibitor",2022
"Synthesis of imidazo[1,2-a]pyridines by the bis(acetyloxy)(phenyl)- λ3-iodane-Mediated oxidative coupling of 2-aminopyridines with β-keto esters and 1,3-diones",Synthesis,56,China,"coupling, cyclization, heterocycles, oxidation, polycycles",2011
Community- and hospital-acquired infections with oseltamivir- and peramivir-resistant influenza A(H1N1)pdm09 viruses during the 2015–2016 season in Japan,Virus Genes,7,"Japan, Lebanon","Antiviral drug susceptibility, Community transmission, Enzymatic property, Influenza virus A(H1N1)pdm09, Neuraminidase, Oseltamivir resistant",2017
"Synthesis and antibacterial activity of novel 4″-carbamates of 6,11-di-O-methylerythromycin A",Journal of Antibiotics,3,China,"4″-carbamates, 6,11-di-O-methylerythromycin A, antibacterial activity, macrolides, resistance, synthesis",2010
"Visible light-catalyzed cascade radical cyclization of n-propargylindoles with acyl chlorides for the synthesis of 2-acyl-9 h-pyrrolo[1,2- a]indoles",Journal of Organic Chemistry,38,China,,2020
"A selective, orally bioavailable 1,2,4-triazolo[1,5-a]pyridine-based inhibitor of janus kinase 2 for use in anticancer therapy: Discovery of CEP-33779",Journal of Medicinal Chemistry,64,United States,,2012
Novel hybrids from lamellarin D and combretastatin A 4 as cytotoxic agents,European Journal of Medicinal Chemistry,65,China,"Anti-proliferative, Combretastatin A 4, Cytotoxic, Hybrids, Lamellarin D",2010
