Title,Source title,Cited by,Authors Country,Author Keywords,Year
A critical evaluation of e-government model implementation in Sri Lanka,"Proceedings of 4th International Conference on e-Government, ICEG 2008",0.0,Sri Lanka,"E-government, E-government implementation, E-government in developing countries, E-government influencing factors, E-government strategy, E-Sri Lanka re-engineering government program",2008
Rethinking E-government adoption: A user-centered model,International Journal of Electronic Government Research,10.0,Canada,"E-government adoption, E-government model, E-participation, Technology adoption models, User-centric e-government",2013
Primary school teachers' classroom-based e-assessment practices: Insights from the theory of planned behaviour,British Journal of Educational Technology,0.0,Hong Kong,"alternative e-assessment tasks, e-feedback, e-tests/exercises, primary school teachers, theory of planned behaviour",2024
Evolution in Alpine populations of Euphrasia (Scrophulariaceae): Chromosome counts on diploid and polyploid taxa from the E. Alps; [Evolution alpiner Populationen von Euphrasia (Scrophulariaceae): Chromosomenzählungen an diploiden und polyploiden Sippen aus den Ostalpen],Plant Systematics and Evolution,8.0,Austria,"Chromosome counts, E. hirtella (2 x), E. inopinata (2 x), E. minima (4 x), E. picta (2 x), E. pumila (4 x), E. rostkoviana (2 x), E. salisburgensis (4 x), E. sinuata (2 x), E. stricta (4 x), Euphrasia, Flora of Austria, polyploid complexes, Rhinanthoideae, Scrophulariaceae",1984
Tailoring Technology for Heterogeneous Shoppers: Implications for e-Retail Channel Competition,Journal of Management Information Systems,0.0,United States,"channel competition, consumer experience, e-marketplaces, e-retail channels, e-retailers, e-shopping experience, Online shopping, tailored offers",2024
BASIC CHARACTERISTICS OF LATVIA’S E-SHOPPERS,Research for Rural Development,0.0,Latvia,"customer, e-commerce, e-shopper/e-buyer, online shopping",2023
"Synthesis and structure elucidation of some new O-acyl-oximinodibenzo[ b,e]thiepines and O-acyloximino-dibenzo[b,e]thiepine-5,5-dioxides",Farmacia,2.0,Romania,"5-dioxides, Dibenzo[b,e]thiepine, Dibenzo[b,e]thiepine-5, Sulfones",2013
Development and validation of an instrument to measure student perceived e-learning service quality,International Journal of Enterprise Information Systems,16.0,"United States, Viet Nam","E-Learning Service Quality, E-Learning Student Loyalty, E-Learning Student Satisfaction, Three-Factor",2019
Motives of customers’ e-loyalty towards e-banking services: a study in Saudi Arabia,Journal of Decision Systems,35.0,"Saudi Arabia, Tunisia","e-banking services, e-loyalty, e-satisfaction, e-trust, Saudi Arabia",2021
"Development and validation of two chromatographic methods for the quantification of E-6087 and one of its metabolites, E-6132, in rat plasma",Journal of Pharmaceutical and Biomedical Analysis,5.0,"Spain, Montserrat","Anti-inflammatory agents, E-6087, HPLC, On-line solid-phase extraction, Prospekt, Validation",2001
"Student perceptions of E-learning service quality, E-satisfaction, and E-loyalty",International Journal of Enterprise Information Systems,48.0,"United States, Viet Nam","E-Learning, E-Learning Loyalty, E-Learning Satisfaction, E-Learning Service Quality",2018
Evaluation of e-learning content and analyses of learning process,"Proceedings of the International Conference on e-Learning, ICEL",0.0,North Macedonia,"Authoring issues, E-Content evaluation, E-Learning analyses, E-Learning indicators, Learning processes",2007
Fracture liée aux e-services publics dans les pays en voie de développement: Exemple du Liban,"16th International Conference of the Association Information and Management 2011, AIM 2011",0.0,France,"Citizen's satisfaction, E-access divide, E-service acceptance divide, E-services divide, E-skills divide, Public e-service",2011
E-Government in the Eurasian Economic Union: A comparative study of member states,ACM International Conference Proceeding Series,3.0,Russian Federation,"E-consultation, E-decision making, E-Democracy, E-Government, E-Government survey, E-information, E-Participation, E-Participation Index, EEU",2018
"Synthesis and antimicrobial activity study of thieno [3,2-e] [1,2,4]triazolo [4,3-c]pyrimidin-3(2H)-one derivatives",Journal of Chemical and Pharmaceutical Research,0.0,"Latvia, Ukraine","Antimicrobial activity, Carbonyldiimidazole, Pyrimidine, Thiophene, Triazole",2014
Formulation of empirical factor relations influencing e-government preparedness,"Proceedings of 4th International Conference on e-Government, ICEG 2008",1.0,Switzerland,"E-government activities, E-government actors, E-government framework, E-government preparedness, Factor relations",2008
Evaluation of e-commerce websites using fuzzy hierarchical TOPSIS based on E-S-QUAL,Applied Soft Computing Journal,85.0,,"B2C e-commerce websites, Evaluation of e-commerce websites, Fuzzy hierarchical TOPSIS based on E-S-QUAL",2016
Divergent Diazo Approach toward Alkyl 5/4-Hydroxy-3H-benzo[e]indole-4/5-carboxylates,Journal of Organic Chemistry,6.0,Russian Federation,,2023
A novel authentication scheme for E-assessments based on student behavior over E-learning platform,International Journal of Emerging Technologies in Learning,27.0,"Egypt, Saudi Arabia, Tunisia","E-assessment and e-exam, E-learning platform, E-learning security, Presence and identity authentication",2017
E-participation model for kuwait e-government,International Journal of Advanced Computer Science and Applications,14.0,Kuwait,"E-consultation, E-Government, E-information, E-participation, E-participation factors, E-participation model",2020
"Diastereoselective synthesis of (Z)-6-(2-oxo-1,2-dihydro-3H-indol-3- ylidene)-3,3a,9,9a-tetrahydroimidazo[4,5-e]thiazolo[3,2-b]-1,2,4-triazin-2,7(1H, 6H)-diones",Journal of Heterocyclic Chemistry,11.0,Russian Federation,,2014
Technical construction methods for e-marketplace,ACM International Conference Proceeding Series,1.0,Macao,"Electronic catalogue (e-catalogue), Electronic hub (e-hub), Electronic integrator (e-integrator), Electronic market place (e-marketplace), Electronic merger (e-merger), Electronic portal (e-portal), Electronic shop (e-shop), Electronic switch (e-switch)",2009
HLA-E diversity unfolded: Identification and characterization of 170 novel HLA-E alleles,HLA,12.0,Germany,"genotyping, HLA-E, next-generation sequencing, novel allele",2021
An expert consultant for cloudifying E-learning environments,"Proceedings - 2014 International Conference on Future Internet of Things and Cloud, FiCloud 2014",2.0,Saudi Arabia,"Cloud computing, Cloud Models, e-Learning, e-Learning Cloud-Model mix, e-learning environments, e-learning organizations, e-Learning services, expert systems",2014
Factors Influencing Customer's E-Loyalty in Tourism E-Marketplace,"2018 International Conference on Information Technology Systems and Innovation, ICITSI 2018 - Proceedings",2.0,Indonesia,"E- Loyalty, E-Perceived Value, E-Service Quality, E-Tourism, E-Trust, Marketplace, PLS-SEM",2018
"Synthesis and anti-inflammatory activity evaluation of novel 3-alkyl-6-(4H-1,2,4-triazol-4-yl)-3,4-dihydro-2H-benzo[e][1,3]oxazine derivatives",Medicinal Chemistry Research,5.0,China,"4-Aminophenol, Anti-inflammatory, Mannich reaction, Synthesis",2016
Smart and connected e-Health lab for standards validation and conformance,"2016 International Conference on Computing, Networking and Communications, ICNC 2016",0.0,"China, Germany, Georgia, United States","e-Health Lab Platform, e-Health Services, e-Health Standards Conformance, Flow Validation, Smart-and-Connected e-Health",2016
On E-Orlicz theory,IAENG International Journal of Applied Mathematics,0.0,Iraq,"E-N-function, E-Orlicz function, E-Orlicz spaces, E-Orlicz-Loreutz spaces, E-Orlicz-Morrey space, E-Orlicz-Sobolev space, E-strong young function, E-Young function",2020
Proactive context aware e-learning system architecture,"Proceedings of the IADIS International Conference WWW/Internet 2009, ICWI 2009",0.0,Brazil,"E-learning context, Learner profile, Monitoring e-learning, Proactive e-learning system architecture",2009
Government online: An e-government platform to improve public administration operations and services delivery to the citizen,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),17.0,Greece,"E-applications, E-delivery, E-government, E-petitions, E-protocol, E-tools, E-transactions, Governmental functions, ICT",2009
Factors influencing adoption and diffusion of e-Government services,"Proceedings of the European Conference on e-Government, ECEG",7.0,Egypt,"Adoption, e-Government, e-Government adoption, e-Government adoption models",2014
Forensic analysis of E-mail address spoofing,Proceedings of the 5th International Conference on Confluence 2014: The Next Generation Information Technology Summit,12.0,India,"E-mail Forensic, E-mail Investigation, E-mail Sender spoofing, E-mail Spoofing, Phishing",2014
Game-Enhanced and Process-Based e-Learning Framework,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),3.0,United Kingdom,"e-learning, Game-enhanced e-learning, Process-based e-learning, Semantic e-learning, Service-oriented e-learning, Technology-enhanced learning",2017
OPTIMALITY AND DUALITY FOR E-DIFFERENTIABLE MULTIOBJECTIVE PROGRAMMING PROBLEMS INVOLVING E-TYPE I FUNCTIONS,Journal of Industrial and Management Optimization,11.0,"Poland, Yemen","E-differentiable function, E-mond-weir duality, E-optimality conditions, E-type i functions, Generalized convexity",2023
E-governance in federal government websites: The cases of Canada and Mexico,ACM International Conference Proceeding Series,0.0,Mexico,"E-Governance, E-participation, E-security, E-services, E-transparency, Interaction, Websites",2013
A secure multi-layer e-application framework for e-Government processes,"Proceedings of the European Conference on e-Government, ECEG",0.0,Australia,"e-document, e-Government process, e-signature, XML data integration, XML security, XML/XML schema",2014
A hierarchical federated integration framework for trust e-commerce cloud,WIT Transactions on Information and Communication Technologies,0.0,China,"Cloud computing, E-commerce, HLA-high level architecture, Trusted e-commerce",2014
What determines a successful e-government promotion?,"Proceedings of the European Conference on e-Government, ECEG",1.0,Japan,"E-Government evaluation, E-Government ranking, Marketing mix, Promotion, e-Government promotion",2016
"Synthesis of Furo[2,3-e][1,4]diazepin-3-one Derivatives through Tandem Cyclization/[4 + 3] Annulation Reactions",Journal of Organic Chemistry,14.0,China,,2022
"Navigating the e-Learning terrain: Aligning technology, pedagogy and context","Proceedings of the International Conference on e-Learning, ICEL",0.0,New Zealand,E-Learning e-Learning design alignment technology pedagogy,2008
"Dual Roles of β-Oxodithioesters in the Copper-Catalyzed Synthesis of Benzo[e]pyrazolo[1,5-c][1,3]thiazine Derivatives",Journal of Organic Chemistry,32.0,China,,2015
Secure Biometric E-Voting Scheme,Communications in Computer and Information Science,5.0,Egypt,"Biometric Recognition, E-Democracy, E-Token, E-Voting",2011
"Synthesis of novel 6,7-dihydro-5H-pyrimido[4,5-e][1,4]diazepin-8(9H)-ones",Journal of Heterocyclic Chemistry,2.0,China,,2011
"Cognitive Ergonomics of the Integrated Collaborative, Interactive E-Learning and E-Training- upon Innovative Networks Empowered with AI and Big Data Analytics and Computing- of the Remote E-Multidisciplinary Team Board in Breast Cancer Decision Making and Treatment",Lecture Notes in Networks and Systems,0.0,Greece,"AI and Big Data Analytics and Computing, Breast Cancer, Cognitive Ergonomics, Remote e-multidisciplinary team board E-Learning and E-Training",2023
"New 6,11-dihydrodibenzo[b,e]thiepine derivatives. Note VI",Farmacia,5.0,Romania,"Dibenzo[b,e]thiepine, Tricyclic derivatives",2009
"Drivers of E-loyalty in E-recruitment: The role of E-service quality, E-satisfaction, and E-trust in Jordan, an emerging market",Journal of Electronic Commerce in Organizations,5.0,Jordan,"B2B E-commerce, E-loyalty, E-recruitment, E-satisfaction, E-service quality, E-trust",2021
Conceptual model for measuring e-government service quality,"2011 IEEE Conference on Open Systems, ICOS 2011",17.0,Malaysia,"conceptual model, E-government service, E-service quality dimensions, quality of e-governemnt",2011
A framework for developing e-learning solutions,"SKG 2009 - 5th International Conference on Semantics, Knowledge, and Grid",5.0,Hong Kong,"e-learning platform, e-learning practice, e-learning solution, e-learning system",2009
E-books on the mobile e-reader,Mobile Information Systems,2.0,,"E-book, e-book industry ecosystem, e-book reader, e-paper technology",2013
Insights from a pilot project on developing and piloting an e-learning module,ECEL 2007: 6th European Conference on e-Learning,0.0,United Kingdom,"E-Commerce, E-Learning, E-Marketing, SMEs",2007
"Streamlining the global village grid through unifying E-Governments, E-Businesses, and E-Commerce services","2008 3rd International Conference on Information and Communication Technologies: From Theory to Applications, ICTTA",1.0,,"E-business, E-commerce, E-governance, E-government, E-services, Global village grid, SOA, Unifying E-services, X2Y",2008
Structuring e-services evaluation based on multi-level value flow models,"Proceedings of the European, Mediterranean and Middle Eastern Conference on Information Systems - Informing Responsible Management: Sustainability in Emerging Economies, EMCIS 2011",2.0,Greece,"E-service, E-service evaluation, E-service quality, IS success models, Technology acceptance model (TAM)",2011
Assessing students' readiness towards e-learning,AIP Conference Proceedings,4.0,Malaysia,"e-Learning assessment, e-Learning environment, e-Learning readiness",2014
A model of e-health acceptance and usage in uganda: The perspective of online social networks,"Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST",2.0,Uganda,"E-government, E-government Acceptance Model, E-Health acceptance, Social networked model, Social networks",2015
"Cytotoxic activity of benzo[b]cyclohept[e][1,4]oxazines",In Vivo,2.0,Japan,"Benzocycloheptoxazines, Cytotoxicity, Hormesis",2013
E-adjacency matrix and e-laplacian matrix of semigraph,Journal of Mathematical and Computational Science,0.0,India,"E-adjacency matrix, E-energy of semigraph E<sub>e</sub> (S), E-Laplacian matrix, Eigenvalue of a matrix, ELaplacian energy of semigraph LE<sub>e</sub> (S)",2020
"Reactions of o-Quinone Methides with Halogenated 1H-Azoles: Access to Benzo[e]azolo[1,3]oxazines",Synthesis (Germany),18.0,Russian Federation,"1H-azoles, aza-Michael­ reaction, benzo[e]azolo[1,3]oxazines, cascade reactions, quinone methide",2017
Determinants of Integrated Citizen-centric E-services in the Public Sector of Sri Lanka,"MERCon 2022 - Moratuwa Engineering Research Conference, Proceedings",0.0,Sri Lanka,"citizen-centred e-government, E-government service quality, Information technology infrastructure, Organizational commitment, Policy and governance",2022
"Pyrido[1,2- e]purine: Design and Synthesis of Appropriate Inhibitory Candidates against the Main Protease of COVID-19",Journal of Organic Chemistry,10.0,,,2022
Relation between E/e' ratio and NT-proBNP levels in elderly patients with symptomatic severe aortic stenosis,Cardiovascular Ultrasound,5.0,"Belgium, Netherlands","Aortic stenosis, Diastolic function, E/e' ratio, NT proBNP, TAVI",2015
Generic services for cross domain use in e-government,Communications in Computer and Information Science,6.0,Greece,"Authentication, CEF, e-Delivery, e-Documents Electronic, e-gov services, e-Identification, e-SENS, e-Signatures, eCODEX, ISA, Large scale pilot projects, LSPs, PEPPOL, Privacy, SPOCS, STORK, Trust",2014
E-Commerce adoption and implementation in automobile industry: A case study,"World Academy of Science, Engineering and Technology",6.0,New Zealand,"B2C E-Commerce, E-Commerce adoption and Implementation, E-Commerce in automobile industry, E-Commerce in SMEs, E-Commerce Models, E-Commerce Website Implementation",2009
The Effectiveness of E-Learning Service Quality in Influencing E-Learning Student Satisfaction and Loyalty at Telkom University,"Proceedings - International Conference Advancement in Data Science, E-Learning and Information Systems, ICADEIS 2022",16.0,Indonesia,"Blended Learning, E-Learning, E-Learning Loyalty, E-Learning Service Quality, E-Learning Student Satisfaction, LMS",2022
"QSL: A specification language for E-questionnaire, E-testing, and E-voting systems",Lecture Notes in Electrical Engineering,3.0,Japan,"E-questionnaire, E-testing, E-voting, QSL, Specification language, Web service",2016
E-government failure and Success Factors Rank Model an extension of Heeks Factor Model,"Proceedings of the 2013 International Conference on Current Trends in Information Technology, CTIT 2013",6.0,United Arab Emirates,"E-governance, E-government failure, E-government strategy, E-government success, Factors rank model, UAE e-government",2013
Construction of APEC e-Health portal site for e-Health service providers and demanders in APEC area,"HEALTHCOM 2007: Ubiquitous Health in Aging Societies - 2007 9th International Conference on e-Health Networking, Application and Services",2.0,,"APEC e-Health Portal Site, e-Health documents, e-Health information, e-Health news",2007
"Re-evaluation of celluloses E 460(i), E 460(ii), E 461, E 462, E 463, E 464, E 465, E 466, E 468 and E 469 as food additives",EFSA Journal,62.0,,"cross-linked carboxy methyl cellulose (E 468), enzymatically hydrolysed carboxy methyl cellulose (E 469), ethyl cellulose (E 462), ethyl methyl cellulose (E 465), hydroxypropyl cellulose (E 463), hydroxypropyl methyl cellulose (E 464), methyl cellulose (E 461), Microcrystalline cellulose (E 460(i)), powdered cellulose (E 460(ii)), sodium carboxy methyl cellulose (E 466)",2018
A cross-national comparison of e-government success measures: A theory-based empirical research,International Journal of Electronic Governance,6.0,"Spain, United States","E-government citizen satisfaction, E-government hypothesis testing, E-government quality, E-government success, Empirical research, Recommendations for e-government users, Reducing risk in e-government, Study of e-governments in a multicultural environment, Theory-based research, Validating e-government models",2011
Identifying Crucial Factors for E-students’ Satisfaction in Vietnamese Emengency Remote Learning Using Machine Learning Methods,"Proceedings of 2023 12th International Conference on Awareness Science and Technology, iCAST 2023",2.0,Viet Nam,"e-satisfaction factors, Keywords— e-students’ satisfaction, machine learning methods, Random Forests, Support Vector Machines",2023
"Synthesis and cytotoxicity of thieno[2,3-b]quinoline-2-carboxamide and cycloalkyl[b]thieno[3,2-e]pyridine-2-carboxamide derivatives",Bioorganic and Medicinal Chemistry,24.0,New Zealand,"Antiproliferative, Thieno[2,3-b]pyridines, Thieno[2,3-b]quinolones, Thieno[3,2-e]pyridines",2016
Effects of e-customer satisfaction and e-trust on e-loyalty: Mongolian online shopping behavior,"Proceedings - 2016 5th IIAI International Congress on Advanced Applied Informatics, IIAI-AAI 2016",10.0,,"Disconfirmation, E-customer satisfaction, E-loyalty, E-SERVQUAL, E-trust, Expectancy confirmation theory, Expectation, Mongolian e-commerce, Service quality",2016
Developing a conceptual framework to evaluate e-Government portals' success,"Proceedings of the European Conference on e-Government, ECEG",9.0,United Kingdom,"e-Government, e-Government evaluation, e-Government portals success, e-Government success factors, e-Government systems success, Saudi Arabia",2013
Less is more: An exploratory analysis of optimal visual appeal and linguistic style combinations in a salesperson’s initial-contact e-mail to millennial buyers within marketing channels,Journal of Marketing Channels,3.0,United States,"e-mail communication strategies, e-mail cues, e-mail linguistics, e-mail marketing, e-mail presentation styles, e-mail visual appeal, Millennial buyers, Millennial customers, Persuasive e-mail communications, Sales e-mails, Selling to millennials, United States",2014
TOWARDS THE E-SOCIETY: SOCIAL MEDIA AS A TOOL TO SUPPORT E-PARTICIPATION,"Proceedings of the International Conferences on e-Society 2023, ES 2023 and Mobile Learning 2023, ML 2023",0.0,,"E-Administration, E-Government, E-Participation, E-Society, Social Media, Tax Portal",2023
Anti-HLA-E mAb 3D12 mimics MEM-E/02 in binding to HLA-B and HLA-C alleles: Web-tools validate the immunogenic epitopes of HLA-E recognized by the antibodies,Molecular Immunology,32.0,United States,"Classical HLA class Ia (HLA-Ia), ElliPro, Epitope prediction web-tools, Epitopes, HLA-A, HLA-B, HLA-C, HLA-E, HLA-E-mAbs: anti-HLA-E monoclonal antibodies (mAb), HLA-F, HLA-G, HLA: human leukocyte antigen, Luminex Multiplex Flowcytometric technology, MAb 3D12, MAb MEM-E/02, Mean fluorescent index (MFI)",2011
Determinants of Customer Loyalty Dimensions: E-Commerce Context in Emerging Economy Perspective,Journal of Electronic Commerce in Organizations,10.0,India,"Business to Consumer E-Commerce, E-Commitment, E-Loyalty, E-Satisfaction, E-Service Quality, E-Trust",2021
Developing effective e-learning environments through e-learning use mediating technology affordance and constructivist learning aspects for performance impacts: Moderator of learner involvement,Internet and Higher Education,24.0,,"Academic performance, Constructivist learning, E-content interaction, E-learning use, E-social interaction, Learner involvement, Technology affordances",2022
"Benzo[e]isoindole-1,3-diones as potential inhibitors of glycogen synthase kinase-3 (GSK-3). Synthesis, kinase inhibitory activity, zebrafish phenotype, and modeling of binding mode",Journal of Medicinal Chemistry,45.0,China,,2010
"C2C Application as an Example of E-shop for Handmade: Tools, Security Issues, Basic Technologies",CEUR Workshop Proceedings,0.0,"Lithuania, Ukraine","C2C application, E-commerce, e-shop for handmade, legal regulations for e-commerce, security of e-commerce systems",2022
The business analysis on the home-bias of E-commerce consumer behavior,Electronic Commerce Research,7.0,"China, United Kingdom","Consumer behavior, Cross-border E-commerce service providers, Domestic E-commerce service providers, E-commerce service providers",2021
"QSL: A specification language for e-questionnaire, e-testing, and e-voting systems",IEICE Transactions on Information and Systems,1.0,"China, Japan","E-questionnaire system, E-testing system, E-voting system, Specification language, Unified communication tool",2019
"Synthesis of 4-phenylthieno[2, 3-e][1, 2, 4]triazolo[4, 3-a]pyrimidine-5 (4H)-one derivatives and evaluation of their anti-inflammatory activity",Letters in Drug Design and Discovery,13.0,"China, Mongolia","Anti-inflammatory, Ear-edema test, Heterocyclic compounds, Indomethacin, Synthesis, Triazole",2016
THE EQUITY OF PEDAGOGICAL APPROACHES IN E-LEARNING INITIATIVES IN HIGHER EDUCATION INSTITUTIONS IN UNITED ARAB EMIRATES,"Proceedings of the 19th International Conference on Cognition and Exploratory Learning in the Digital Age, CELDA 2022",0.0,United Arab Emirates,"Adoption of e-Learning, e-Learning, e-Learning Pedagogy, Technology Adoption Models, Technology Enhanced Learning, Unified Theory of Acceptance",2022
"Improvement of QSL by Ontologies of E-Questionnaire, E-Testing, and E-Voting Systems",Lecture Notes in Electrical Engineering,0.0,Japan,"E-Questionnaire, E-Testing, E-Voting, Ontology, Specification language",2020
E-business design: A shift to adaptability,"SECRYPT 2009 - International Conference on Security and Cryptography, Proceedings",0.0,United States,"Adaptive business, Adaptive design, Architecture, Business design pattern, Business profile, Downturn, e-Barter, e-Broker, e-Business, e-Business profile, e-Commerce, Economy, Mass market, Niche market",2009
"Synthesis and conformational analysis of naphth[1,2-e][1,3]oxazino[4,3-a][1,3]isoquinoline and naphth[2,1-e][1,3]oxazino[4,3-a]isoquinoline derivatives",Tetrahedron,21.0,"Germany, Hungary","Conformational analysis, Isoquinolines, Naphthoxazines, NMR spectroscopy, Synthesis, Theoretical calculations",2008
Perceived Barriers to Business-to-Government (B2G) E-Commerce Adoption: The Case of Government E-Marketplace (GeM) Portal in India,International Journal of Electronic Government Research,1.0,"Bahrain, India, Jordan, Saudi Arabia","B2G E-Commerce, DEMATEL, E-Marketplace, India, MCDM, Perceived Barriers",2023
3rd party E-business architechure and model in grid computing environment,"Proceedings of the International Conference on E-Business and E-Government, ICEE 2010",0.0,China,"3 <sup>rd</sup> party E-business platform, E-business, E-business model, E-business platform, Grid computing",2010
Workshop on Software Engineering for E-Learning Systems (SEELS'21),"Lecture Notes in Informatics (LNI), Proceedings - Series of the Gesellschaft fur Informatik (GI)",0.0,Germany,"Distributed E-Learning Systems, E-Learning, Software Engineering, System Design",2020
"A research study about ""e-learning training needs"" of vocational high school teachers in North Cyprus","Proceedings of the 7th European Conference on e-Learning, ECEL 2008",0.0,Cyprus,"E-Education, E-learning, E-learning divide, Teachers, Training needs, Vocational education",2008
e-Business design: A shift to adaptability,ICETE 2009 - International Joint Conference on e-Business and Telecommunications,0.0,United States,"Adaptive business, Adaptive design, Architecture, Business design pattern, Business profile, Downturn, e-Barter, e-Broker, e-Business, e-Business profile, e-Commerce, Economy, Mass market, Niche market",2009
Towards the Development of an Adaptive E-learning System with Chatbot Using Personalized E-learning Model,ACM International Conference Proceeding Series,4.0,Philippines,"Adaptive, Chatbot, Myer-Briggs Type Indicator Theory, Personalized e-Learning Model",2021
