Year,Title,PublicationName,CitedByCount,Asia,Oceania,Europe,North America,South America,Africa,keywords_list,cluster,keyword_category
2021,Injectable eggshell-derived hydroxyapatite-incorporated fibroin-alginate composite hydrogel for bone tissue engineering,International Journal of Biological Macromolecules,16,4,0,0,0,0,0,"['Bone tissue engineering', 'Hydroxyapatite', 'Silk fibroin']",1,Medical and Technological Advances
2021,Enhancement of large ring cyclodextrin production using pretreated starch by glycogen debranching enzyme from Corynebacterium glutamicum,International Journal of Biological Macromolecules,6,4,0,0,0,0,0,"['Amylomaltase', 'Glycogen debranching enzyme', 'Large-ring cyclodextrin', 'Starch']",1,Medical and Technological Advances
2021,Molecular insights into complex formation between scandenin and various types of β-cyclodextrin,Journal of Molecular Liquids,0,5,0,0,0,0,0,"['Cyclodextrin', 'Inclusion', 'Molecular dynamics simulation', 'Scandenin']",1,Medical and Technological Advances
2021,In-situ chemical modification of printed conducting polymer films for specific glucose biosensing,Sensors and Actuators B: Chemical,2,4,0,0,0,0,0,"['Acid chloride reaction', 'Fluorophenylboronic acid', 'Glucose sensing', 'Potentiometry', 'Surface modification']",1,Medical and Technological Advances
2021,Fouling mitigation in an anaerobic membrane bioreactor via membrane surface modification with tannic acid and copper,Environmental Pollution,11,4,0,0,0,0,0,"['AnMBR', 'Hydrophilicity', 'Membrane fouling', 'PVDF', 'Ultrafiltration']",1,Medical and Technological Advances
2021,Sintering behavior and mechanical properties of hydroxyapatite ceramics prepared from Nile Tilapia (Oreochromis niloticus) bone and commercial powder for biomedical applications,Ceramics International,8,9,0,0,0,0,0,"['Biomaterial', 'Bone engineering', 'EXAFS', 'Fish bone', 'Hydroxyapatite']",1,Medical and Technological Advances
2021,Toward sustainable stormwater management: Understanding public appreciation and recognition of urban Low Impact Development (LID) in the San Francisco Bay Area,Journal of Environmental Management,26,3,0,0,2,0,0,"['Landscape appreciation', 'Low impact development (LID)', 'Picturesque aesthetics', 'San Francisco Bay Area', 'Stormwater education', 'Sustainable stormwater management']",1,Medical and Technological Advances
2021,Strongly coupled tungsten oxide/carbide heterogeneous hybrid for ultrastable aqueous rocking‐chair zinc-ion batteries,Chemical Engineering Journal,29,6,0,0,0,0,0,"['Aqueous zinc-ion battery', 'Intercalated anode', 'Rocking-chair ZIBs', 'WO3/WC heterogeneous hybrid']",1,Medical and Technological Advances
2021,Detection and identification of a fish pathogen Flavobacterium columnare using specific monoclonal antibodies,Aquaculture,8,4,0,0,0,0,0,"['Columnaris disease', 'Dot blotting', 'Immunohistochemistry', 'Monoclonal antibody', 'Western blotting']",1,Medical and Technological Advances
2021,Lipid nanoparticles enhance the efficacy of mRNA and protein subunit vaccines by inducing robust T follicular helper cell and humoral responses,Immunity,145,1,0,1,6,0,0,"['adjuvant', 'germinal centers', 'IL-6', 'influenza virus', 'lipid nanoparticle', 'SARS-CoV-2', 'Tfh cell', 'vaccine']",0,Sustainability and Diversity
2021,Reliability Quantification of Railway Electrification Mast Structure Considering Buckling,Frontiers in Built Environment,0,2,0,1,0,0,0,"['first order reliability method (FORM)', 'mast structure', 'overhead line equipment (OHLE)', 'reliability', 'resilience']",4,Public Health and Epidemiology
2021,"Sprout Caffeoylquinic Acid Profiles as Affected by Variety, Cooking, and Storage",Frontiers in Nutrition,0,3,0,0,0,0,0,"['bioactive compounds', 'caffeoylquinic acids', 'cooking', 'low temperature storage', 'sunflower sprout', 'variety']",4,Public Health and Epidemiology
2021,Incorporation of diethyl ether production to existing bioethanol process: Techno-economic analysis,Journal of Cleaner Production,3,3,0,0,0,0,0,"['Bioethanol', 'Catalytic dehydration experiment', 'Diethyl ether', 'Process simulation', 'Techno-economic analysis']",1,Medical and Technological Advances
2021,Raman spectroscopy investigation of a manganese oxide layer caused by water corrosion on an IrMn thin film,Materials Performance and Characterization,1,5,0,0,0,0,0,"['Iridium manganese', 'Manganese oxide', 'Raman spectroscopy', 'Thin film']",1,Medical and Technological Advances
2021,"DEVELOPMENT OF A DISASTER RISK PROFILE IN THE PUBLIC HEALTHCARE SYSTEM DURING FLOOD SITUATION: A CASE STUDY OF NAKHON SAWAN CITY MUNICIPALITY, NAKHON SAWAN PROVINCE, THAILAND",WIT Transactions on the Built Environment,0,4,0,0,0,0,0,"['Emergency operation', 'Flood', 'Public health', 'Risk profile', 'Thailand']",1,Medical and Technological Advances
2021,Molecularly imprinted polymers for the extraction and determination of water-soluble vitamins: A review from 2001 to 2020,European Polymer Journal,4,2,0,0,0,0,0,"['Determination', 'Extraction', 'Molecularly imprinted polymer', 'Sensor', 'Water-soluble vitamins']",1,Medical and Technological Advances
2021,Prevalence of pre-sarcopenia among postmenopausal women younger than 65 years,Menopause,1,6,0,0,0,0,0,"['Low muscle mass', 'Menopause', 'Muscle strength', 'Pre-sarcopenia', 'Sarcopenia']",1,Medical and Technological Advances
2021,Core slide defect reduction of PVC tape by Six Sigma approach,ACM International Conference Proceeding Series,0,2,0,0,0,0,0,"['Core slide defect', 'Defect reduction', 'Process improvement', 'PVC tape', 'Six Sigma', 'Telescope of tape']",1,Medical and Technological Advances
2021,"Immunogenicity, safety and reactogenicity of a heterogeneous booster following the CoronaVac inactivated SARS-CoV-2 vaccine in patients with SLE: A case series",RMD Open,10,7,0,0,0,0,0,"['COVID-19', 'lupus erythematosus', 'systemic', 'vaccination']",0,Sustainability and Diversity
2021,A comparison of students’ competencies of thai and international documents,Kasetsart Journal of Social Sciences,0,2,0,0,0,0,0,"['Comparative study', 'Competency', 'Competency-based curriculum', 'Transversal competencies']",1,Medical and Technological Advances
2021,“Macbeth Effect”: The link between physical cleanliness and moral judgement,Kasetsart Journal of Social Sciences,1,2,0,0,0,0,0,"['Macbeth effect', 'Moral cleansing', 'Moral judgment', 'Physical cleansing', 'Systematic review']",1,Medical and Technological Advances
2021,Social returns on investment for doctor of philosophy program in educational measurement and evaluation,Kasetsart Journal of Social Sciences,1,2,0,0,0,0,0,"['Financial proxies', 'Impact mapping', 'Indicators', 'Social Returns on Investment (SROI)', 'Theory of change']",1,Medical and Technological Advances
2021,Development of a process to change teachers’ misconceptions in using portfolio for elementary school student assessment,Kasetsart Journal of Social Sciences,0,1,0,0,1,0,0,"['Elementary school', 'Misconception', 'Portfolio']",1,Medical and Technological Advances
2021,Vascularized Toe Joint Transfer for Hypoplastic Thumb Type IV,Techniques in Hand and Upper Extremity Surgery,0,2,0,0,0,0,0,"['hypoplastic thumb', 'joint transfer', 'toe transfer', 'vascularized']",2,Cell Biology and Biochemistry
2021,"Identification of Key Genes in ‘Luang Pratahn’, Thai Salt-Tolerant Rice, Based on Time-Course Data and Weighted Co-expression Networks",Frontiers in Plant Science,2,6,0,0,1,0,0,"[""3' Tag Seq"", 'network-based analysis', 'salt tolerant rice', 'time-series data', 'two-state co-expression network', 'weighted co-expression network']",1,Medical and Technological Advances
2021,Patient perception and treatment convenience of dabigatran versus vitamin K antagonist when used for stroke prophylaxis in atrial fibrillation: Real-world Evaluation of Long-term Anticoagulant Treatment Experience (RE-LATE) study,Open Heart,0,10,0,0,1,0,0,"['Atrial fibrillation', 'Health care', 'Outcome assessment', 'Stroke']",1,Medical and Technological Advances
2021,"Clinical outcomes of pediatric COVID-19 in a tertiary care center in Bangkok, Thailand",IJID Regions,5,4,0,0,0,0,0,"['Children', 'COVID-19', 'Favipiravir', 'Pneumonia', 'SARS-CoV-2']",1,Medical and Technological Advances
2021,Calcinosis circumscripta associated with surgical site of the right femur in a Belgian sheepdog: Imaging diagnosis and surgical treatment,Thai Journal of Veterinary Medicine,0,4,0,0,0,0,0,"['Belgian Sheepdog', 'calcinosis circumscripta', 'internal implant fixation', 'radiographic', 'ultrasonographic']",2,Cell Biology and Biochemistry
2021,"Potential risk factors for Brachyspira hyodysenteriae, Lawsonia intracellularis and Salmonella spp. infection and their prevalence in commercial swine farms in Thailand",Thai Journal of Veterinary Medicine,0,5,0,1,0,0,0,"['Brachyspira hyodysenteriae', 'Lawsonia intracellularis', 'multiplex PCR', 'prevalence', 'risk factor', 'Salmonella spp.']",0,Sustainability and Diversity
2021,Evaluation of the hematological and serum protein profiles of blood parasite coinfection in naturally infected dogs,Thai Journal of Veterinary Medicine,2,3,0,0,0,0,0,"['Blood parasites', 'Coinfection', 'Dogs', 'Hematology', 'Serum protein']",1,Medical and Technological Advances
2021,Successful treatment of demodicosis due to Demodex cati in a cat using spot - On formulation of fluralaner,Thai Journal of Veterinary Medicine,0,2,0,0,0,0,0,"['cat', 'Demodex cati', 'demodicosis', 'fluralaner']",0,Sustainability and Diversity
2021,A seroepidemiological investigation on major viral and bacterial pathogens in small-scale chicken flocks in the Mekong delta region of Vietnam,Thai Journal of Veterinary Medicine,0,4,0,1,0,0,0,"['bacterial pathogen', 'chicken', 'seroepidemiology', 'Vietnam', 'viral pathogen']",0,Sustainability and Diversity
2021,Cardiovascular Risk and Health Among People With Human Immunodeficiency Virus (HIV) Eligible for Primary Prevention: Insights From the REPRIEVE Trial,Clinical Infectious Diseases,12,1,0,2,10,1,0,"['atherosclerotic cardiovascular disease', 'cardiac prevention', 'cardiovascular health', 'cardiovascular risk', 'lifestyle modifications']",1,Medical and Technological Advances
2021,"Taxonomic Status of Fowlea tytleri (Blyth, 1863) from the Andaman Islands",Tropical Natural History,2,2,0,1,0,0,0,"['Biodiversity studies', 'mtDNA', 'reptiles', 'Southeast Asia', 'Xenochrophis']",0,Sustainability and Diversity
2021,"Nesting Ecology and Reproducing Females of the Snail-eating Turtle, Malayemys macrocephala, in Paddy Fields in Central Plain of Thailand",Tropical Natural History,0,2,0,0,0,0,0,"['Cytochrome b', 'freshwater turtle', 'mitochondrial DNA', 'nesting-site preference', 'reproducing female number']",1,Medical and Technological Advances
2021,Production of oil with increasing palmitoleic acid content by Cyberlindnera subsufficiens NG8.2 from oil palm empty fruit bunch via co-fermentation with cassava starch,Agriculture and Natural Resources,1,2,0,0,0,0,0,"['Cassava starch', 'Cyberlindnera subsufficiens NG8.2', 'Oil palm empty fruit bunch', 'Oleaginous yeast', 'Palmitoleic acid']",1,Medical and Technological Advances
2021,Validation of Brix refractometer to estimate immunoglobulin G concentration in goat colostrum,Veterinary World,2,4,0,0,0,0,0,"['Caprine', 'Colostrum quality', 'Optical Brix refractometer']",1,Medical and Technological Advances
2021,What is the best systemic treatment for newly diagnosed inflammatory breast cancer?-a narrative review,Chinese Clinical Oncology,2,2,0,0,0,0,0,"['anti-HER2 therapy', 'CDK4/6 inhibitor', 'immunotherapy', 'Inflammatory breast cancer (IBC)']",2,Cell Biology and Biochemistry
2021,FOURTH-ORDER STRAIN GRADIENT BAR-SUBSTRATE MODEL WITH NONLOCAL AND SURFACE EFFECTS FOR THE ANALYSIS OF NANOWIRES EMBEDDED IN SUBSTRATE MEDIA,"Facta Universitatis, Series: Mechanical Engineering",12,4,0,0,0,0,0,"['Displacement-based formulation', 'Fourth-order nonlocal strain gradient model', 'Nanobeam-substrate model', 'Nonlocal strain gradient', 'Nonlocal thermodynamic approach']",1,Medical and Technological Advances
2021,"Barriers and Challenges in Managing Hypertension in Belitung, Indonesia: A Qualitative Study",Nurse Media Journal of Nursing,1,3,0,0,0,0,0,"['Community nurses', 'Hypertension', 'Indonesia', 'Public health', 'Qualitative research']",1,Medical and Technological Advances
2021,Changes in Choroidal Vascularity Index (CVI) in Intermediate Uveitis,Translational Vision Science and Technology,7,1,0,0,2,0,0,"['Choroidal thickness', 'Choroidal vascularity index', 'Enhanced depth imaging', 'Intermediate uveitis', 'Optical coherence tomography']",1,Medical and Technological Advances
2021,Erectile dysfunction among Thai patients with COVID-19 infection,Translational Andrology and Urology,8,4,0,0,0,0,0,"['Anxiety', 'COVID-19', 'Depression', 'Erectile dysfunction (ED)']",1,Medical and Technological Advances
2021,Therapeutic vaccine BRII-179 restores HBV-specific immune responses in patients with chronic HBV in a phase Ib/IIa study,JHEP Reports,21,10,4,0,2,0,0,"['BRII-179', 'CHB', 'HBV-specific immune response', 'IFN-alpha', 'immunotherapy']",2,Cell Biology and Biochemistry
2021,"Investigation of sulfonated solid acid catalysts derived from oil palm kernel shell, corncob, and diatomaceous earth for esterification of ethanol and propanoic acid, characterisation and their performance",Bioresource Technology Reports,5,3,0,0,0,0,0,"['Biochar', 'Diatomite', 'Esterification', 'Ethyl propanoate', 'Solid catalyst']",1,Medical and Technological Advances
2021,Chloride-induced corrosion of a galvanized steel-embedded calcium sulfoaluminate stucco system,Journal of Building Engineering,10,3,0,0,0,0,0,"['Calcium sulfoaluminate cement', 'Chloride', 'Corrosion', 'Galvanized steel reinforcement', 'Service life']",1,Medical and Technological Advances
2021,Quality Assessment of Mobile Cone-beam Computerized Tomography Scanner Made in Thailand: A Phantom Study,Journal of the Medical Association of Thailand,0,3,0,0,0,0,0,"['Cone-beam computed tomography', 'Craniofacial abnormalities', 'MobiiScan', 'Radiologic phantom', 'X-ray computed tomography']",1,Medical and Technological Advances
2021,Chemotherapy-Related Cerebral Venous Sinus Thrombosis in a Colon Cancer Patient Receiving Adjuvant Chemotherapy: Case Report and Literature Review,Journal of the Medical Association of Thailand,0,2,0,0,0,0,0,"['Central venous sinus thrombosis', 'Chemotherapy-induced VTE', 'Oxaliplatin']",1,Medical and Technological Advances
2021,Healthcare Resource Utilization and Healthcare Costs of COVID-19 Patients in A Tertiary Care Public Hospital: A Retrospective Cohort Study in Thailand,Journal of the Medical Association of Thailand,1,4,0,0,0,0,0,"['COVID-19', 'Healthcare costs', 'Healthcare resource utilization', 'SARS-CoV-2', 'Thailand']",1,Medical and Technological Advances
2021,The analgesic efficacy of anterior femoral cutaneous nerve block in combination with femoral triangle block in total knee arthroplasty: a randomized controlled trial,Korean Journal of Anesthesiology,3,3,0,0,0,0,0,"['Arthroplasty', 'Knee', 'Nerve block', 'Peripheral nerves', 'Postoperative pain', 'Ultrasonography']",1,Medical and Technological Advances
2021,The effects of active break and postural shift interventions on recovery from and recurrence of neck and low back pain in office workers: A 3-arm cluster-randomized controlled trial,Musculoskeletal Science and Practice,4,3,0,0,0,0,0,"['Computer', 'Musculoskeletal disorder', 'Physical activity', 'Posture', 'Sedentary worker']",1,Medical and Technological Advances
2021,Myositis Caused by Trachipleistophora hominis in a Person with Human Immunodeficiency Virus: The First Case in Thailand,Open Forum Infectious Diseases,3,4,0,0,0,0,0,"['AIDS', 'HIV', 'Microsporidium', 'Myositis', 'Thailand', 'Trachipleistophora', 'Trachipleistophora hominis']",1,Medical and Technological Advances
2021,"Inventory of Agroecological Practices as part of the ""Peasant to Peasant"" Methodology in Ceará: An instrument to decolonize a territory and (re)value peasant knowledge Inventário de Práticas Agroecológicas na Metodologia ""de Camponês/a a Camponês/a"" no Ceará: Um instrumento para descolonizar o território e (re)valorizar o conhecimento camponês",Desenvolvimento e Meio Ambiente,2,1,0,0,1,5,0,"['Agroecology', 'Decolonization', 'Inventory of practices', 'Peasant to peasant', 'Territorialization']",1,Medical and Technological Advances
2021,Social principles of emancipatory agroecologies Principios sociales de las agroecologías emancipadoras,Desenvolvimento e Meio Ambiente,4,1,0,0,2,2,0,"['Agroecology', 'Autonomy', 'Cooptation', 'Post-development']",1,Medical and Technological Advances
2021,"Agroecology and La Vía Campesina I. The symbolic and material construction of agroecology through ""peasant-to-peasant"" processes Agroecología y La Vía Campesina I. La construcción simbólica y material de la agroecología a través de los procesos de ""campesina(o) a campesina(o)""",Desenvolvimento e Meio Ambiente,2,1,0,0,3,2,0,"['Agroecology', 'Dispositive', 'La Vía Campesina', 'Peasant-to-peasant process', 'Scaling up']",1,Medical and Technological Advances
2021,Bringing agroecology to scale: Key drivers and emblematic cases Ampliação da agroecologia: Principais impulsores e casos emblemáticos Masificación de la agroecología: Impulsores clave y casos emblemáticos,Desenvolvimento e Meio Ambiente,0,1,0,0,2,2,0,"['Agri-food system transformation', 'Farmer-to-farmer', 'Massification of agroecology', 'Scaling out', 'Territorialization of agroecology']",1,Medical and Technological Advances
2021,"Caffeine induces g0/g1 cell cycle arrest and inhibits migration through Integrin αv, β3, and FAK/AKT/c-MYC signaling pathway",Molecules,4,6,0,0,0,0,0,"['C-Myc', 'Caffeine', 'Cancer growth', 'Integrin', 'Lung cancer', 'Metastasis', 'Migration']",1,Medical and Technological Advances
2021,Zero Budget Natural Farming in India - From inception to institutionalization Agricultura natural de presupuesto cero en India - Desde su inicio hasta su institucionalización,Desenvolvimento e Meio Ambiente,1,1,0,0,1,2,0,"['Agroecology', 'Budget natural farming', 'KRRS', 'Scaling-up agroecology', 'Subhash Palekar', 'Zero']",1,Medical and Technological Advances
2021,Agroecology and La Vía Campesina II. Peasant agroecology schools and the formation of a sociohistorical and political subject Agroecología y La Vía Campesina II. Las escuelas campesinas de agroecología y la formación de un sujeto sociohistórico y politico,Desenvolvimento e Meio Ambiente,1,1,0,0,2,3,0,"['Agroecology', 'CLOC', 'Education', 'La Vía Campesina', 'Political subject', 'Scaling']",1,Medical and Technological Advances
2021,Horizontal and deep scaling of agroecology: Lessons from two organizations that defend seed sovereignty in Colombia Escalamiento horizontal y profundo de la agroecología: Lecciones de dos organizaciones defensoras de la soberanía de semillas en Colombia,Desenvolvimento e Meio Ambiente,0,1,0,0,2,2,0,"['Agroecology', 'Creole and native seeds', 'Custodians of seeds', 'Deep scaling of agroecology', 'Local seed systems']",1,Medical and Technological Advances
2021,"Diversity, antimicrobial activity, and susceptibility of culturable soil actinobacteria isolated from Sichang Island",ScienceAsia,2,3,0,0,0,0,0,"['Actinobacteria', 'Antimicrobial activity', 'Antimicrobial susceptibility', 'Nocardia', 'Sichang Island']",1,Medical and Technological Advances
2021,"Petrogenesis of mafic-ultramafic and associated rocks along Sa Kaeo and Pattani Sutures, Thailand",ScienceAsia,0,2,0,0,0,0,0,"['Basalt', 'Ophiolite', 'Suture', 'Tectonic', 'Ultramafic rock']",1,Medical and Technological Advances
2021,Oxyresveratrol and its synthetic derivatives on the stimulation of glucose uptake in skeletal muscle cells and the activation of AMPK,ScienceAsia,1,4,0,0,0,0,0,"['AMPK', 'Glucose uptake', 'Medicinal chemistry', 'Molecular docking analysis', 'Oxyresveratrol']",1,Medical and Technological Advances
2021,Accuracy assessment of integrated GNSS measurements with LIDAR mobile mapping data in urban environments,Measurement: Sensors,2,2,0,0,0,0,0,"['GNSS kinematic positioning', 'GNSS/INS/DMI/TLS integration', 'Height aiding measurement', 'LIDAR mobile mapping system']",1,Medical and Technological Advances
2021,Sinovac COVID-19 vaccine–induced cutaneous leukocytoclastic vasculitis,JAAD Case Reports,17,2,0,0,0,0,0,"['CoronaVac', 'COVID-19', 'Sinovac', 'vaccine', 'vasculitis']",0,Sustainability and Diversity
2021,Overview of quartz crystal microbalance behavior analysis and measurement,Chemosensors,20,3,0,0,0,0,0,"['Biosensor', 'Chemical sensor', 'Quartz Crystal Microbalance', 'Vector network analyzer']",1,Medical and Technological Advances
2021,An applying colored petri net for computerized accounting system and ledger accounts instruction,Computers,1,2,0,0,0,0,0,"['Colored petri net', 'Computerized accounting system', 'Formal model', 'Ledger account', 'Model-based instruction', 'Model-based simulation']",1,Medical and Technological Advances
2021,Finite element analysis of glass fiber-reinforced polymer-(Gfrp) reinforced continuous concrete beams,Polymers,6,4,0,0,0,0,2,"['Concrete', 'Continuous-beam', 'Glass fiber-reinforced polymer', 'Moment redistribu-tion', 'Shear capacity', 'Stirrups']",1,Medical and Technological Advances
2021,In vitro synergism of azithromycin combination with antibiotics against oxa-48-producing klebsiella pneumoniae clinical isolates,Antibiotics,4,3,0,0,0,0,0,"['Azithromycin', 'Carbapenem', 'Carbapenem resistance', 'Colistin', 'Klebsiella pneumoniae', 'OmpK35', 'OmpK36', 'OXA-48']",1,Medical and Technological Advances
2021,Biological Functions and Activities of Rice Bran as a Functional Ingredient: A Review,Nutrition and Metabolic Insights,23,2,0,0,0,0,0,"['Bioactive compound', 'dietary fiber', 'functional food', 'gamma-oryzanol', 'nutrition', 'protein', 'rice bran']",0,Sustainability and Diversity
2021,Application of artificial intelligence in non-alcoholic fatty liver disease and liver fibrosis: a systematic review and meta-analysis,Therapeutic Advances in Gastroenterology,11,5,0,0,0,0,0,"['AI-assisted system', 'artificial intelligence', 'diagnostic tool', 'fatty liver', 'liver fibrosis', 'machine-learning', 'NAFLD', 'NASH', 'non-invasive tests']",1,Medical and Technological Advances
2021,A scientometric assessment of agri-food technology for research activity and productivity,Publications,3,3,0,0,0,0,0,"['Bibliometric indicators', 'Patent analysis', 'Research collaboration', 'Scientific activity', 'Scientometrics', 'Sustainable development goals', 'Technology assessment']",1,Medical and Technological Advances
2021,Experimental study on the behavior of steel–concrete composite decks with different shear span-to-depth ratios,Buildings,7,4,0,0,0,0,0,"['Composite structure', 'Flexural behavior', 'Reinforced concrete', 'Steel–concrete composite deck']",1,Medical and Technological Advances
2021,Application of essential oils for maintaining postharvest quality of ‘rongrien’ rambutan fruit,Agriculture (Switzerland),2,2,0,0,0,0,0,"['Edible coating', 'Kaffir lime oil', 'Nephelium lappaceum', 'Pericarp browning', 'Weight loss']",1,Medical and Technological Advances
2021,Exploring moocs that promote innovative public services,Sustainability (Switzerland),1,4,0,0,0,0,0,"['MOOCs', 'Public services', 'Qualitative content analysis', 'Sentiment analysis', 'Sustainable country development']",1,Medical and Technological Advances
2021,Pre- and post-fire mechanical performances of high calcium fly ash geopolymer concrete containing granite waste,Journal of Building Engineering,16,5,0,0,0,0,0,"['Fire resistance', 'Geopolymer concrete', 'Granite waste', 'Moisture condition', 'Recycled aggregates']",1,Medical and Technological Advances
2021,Gaucher disease: clinical phenotypes and refining GBA mutational spectrum in Thai patients,Orphanet Journal of Rare Diseases,4,10,0,0,0,0,0,"['Asian', 'GBA', 'GBAP', 'L444P', 'p.L483P', 'Prevalence', 'Rec1a', 'Recombinant allele']",1,Medical and Technological Advances
2021,Transformer-based decoder designs for semantic segmentation on remotely sensed images,Remote Sensing,15,3,0,0,0,0,0,"['Convolutional neural network', 'Feature pyramid network', 'Fully transformer networks', 'High-resolution representations', 'ISPRS Vaihingen', 'Landsat-8', 'Vision transformer']",1,Medical and Technological Advances
2021,Applying cassava stems biochar produced from agronomical waste to enhance the yield and productivity of maize in unfertile soil,Fermentation,3,2,0,0,0,0,0,"['Agricultural wastes', 'Biochar', 'Cassava stems', 'Maize yields', 'Resilient agricultural', 'Soil amendment']",1,Medical and Technological Advances
2021,Lacticaseibacillus casei Strain T21 Attenuates Clostridioides difficile Infection in a Murine Model Through Reduction of Inflammation and Gut Dysbiosis With Decreased Toxin Lethality and Enhanced Mucin Production,Frontiers in Microbiology,10,4,0,0,0,0,0,"['Clostridioides difficile', 'gut dysbiosis', 'inflammation', 'Lacticaseibacillus casei T21', 'probiotics', 'proinflammatory cytokines', 'toxin lethality']",0,Sustainability and Diversity
2021,The role of viral marketing in social media on brand recognition and preference,Emerging Science Journal,2,2,0,0,0,0,0,"['Branding', 'Social Media', 'Thailand', 'Viral Marketing']",1,Medical and Technological Advances
2021,Strength enhancement of interlocking hollow brick masonry walls with low-cost mortar and wire mesh,Infrastructures,2,5,0,0,0,0,1,"['Brick', 'Cement', 'Clay', 'Mortar', 'Strengthening', 'Wire mesh']",1,Medical and Technological Advances
2021,Sensitivity and specificity of anti-double-stranded RNA immunofluorescence for universal detection of viral infection in respiratory specimens,Heliyon,1,8,0,0,0,0,0,"['Double-stranded RNA', 'Immunofluorescence', 'Respiratory virus']",1,Medical and Technological Advances
2021,Organization benefit as an outcome of organizational security adoption: The role of cyber security readiness and technology readiness,Sustainability (Switzerland),3,2,0,0,0,0,0,"['Cyber security adoption', 'Cyber security benefit', 'Cyber security readiness', 'Technology readiness']",1,Medical and Technological Advances
2021,Asia pacific stroke organization,Stroke,1,6,0,0,0,0,0,"['Education', 'Health policy', 'Language', 'Organizations', 'Update']",1,Medical and Technological Advances
